state,district_number,year,democratic_vote_percentage,republican_vote_percentage,efficiency_gap,bias
ALABAMA,1,1976,37.48,62.52,-0.074,0.071
ALABAMA,2,1976,42.4,57.6,-0.074,0.071
ALABAMA,3,1976,100.0,0.0,-0.074,0.071
ALABAMA,4,1976,80.38,19.62,-0.074,0.071
ALABAMA,5,1976,100.0,0.0,-0.074,0.071
ALABAMA,6,1976,42.96,57.04,-0.074,0.071
ALABAMA,7,1976,100.0,0.0,-0.074,0.071
CALIFORNIA,1,1976,73.95,26.05,0.048,0.042
CALIFORNIA,2,1976,42.28,57.72,0.048,0.042
CALIFORNIA,3,1976,72.86,27.14,0.048,0.042
CALIFORNIA,4,1976,50.22,49.78,0.048,0.042
CALIFORNIA,5,1976,61.84,38.16,0.048,0.042
CALIFORNIA,6,1976,70.98,29.02,0.048,0.042
CALIFORNIA,7,1976,76.23,23.77,0.048,0.042
CALIFORNIA,8,1976,64.15,35.85,0.048,0.042
CALIFORNIA,9,1976,72.29,27.71,0.048,0.042
CALIFORNIA,10,1976,74.62,25.38,0.048,0.042
CALIFORNIA,11,1976,63.28,36.72,0.048,0.042
CALIFORNIA,12,1976,32.07,67.93,0.048,0.042
CALIFORNIA,13,1976,68.18,31.82,0.048,0.042
CALIFORNIA,14,1976,72.54,27.46,0.048,0.042
CALIFORNIA,15,1976,72.2,27.8,0.048,0.042
CALIFORNIA,16,1976,53.42,46.58,0.048,0.042
CALIFORNIA,17,1976,65.69,34.31,0.048,0.042
CALIFORNIA,18,1976,35.8,64.2,0.048,0.042
CALIFORNIA,19,1976,35.62,64.38,0.048,0.042
CALIFORNIA,20,1976,32.75,67.25,0.048,0.042
CALIFORNIA,21,1976,69.78,30.22,0.048,0.042
CALIFORNIA,22,1976,37.39,62.61,0.048,0.042
CALIFORNIA,23,1976,60.18,39.82,0.048,0.042
CALIFORNIA,24,1976,67.78,32.22,0.048,0.042
CALIFORNIA,25,1976,76.57,23.43,0.048,0.042
CALIFORNIA,26,1976,34.41,65.59,0.048,0.042
CALIFORNIA,27,1976,45.32,54.68,0.048,0.042
CALIFORNIA,28,1976,80.2,19.8,0.048,0.042
CALIFORNIA,29,1976,88.38,11.62,0.048,0.042
CALIFORNIA,30,1976,74.38,25.62,0.048,0.042
CALIFORNIA,31,1976,100.0,0.0,0.048,0.042
CALIFORNIA,32,1976,72.22,27.78,0.048,0.042
CALIFORNIA,33,1976,44.92,55.08,0.048,0.042
CALIFORNIA,34,1976,50.71,49.29,0.048,0.042
CALIFORNIA,35,1976,53.26,46.74,0.048,0.042
CALIFORNIA,36,1976,64.79,35.21,0.048,0.042
CALIFORNIA,37,1976,26.84,73.16,0.048,0.042
